"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-07","New Brunswick","2016A000213","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410089","6.1.3.6","423","","","","0"
"2022-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410090","6.2.1.1","12.2","","","","1"
"2022-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410091","6.2.1.2","7.3","","","","1"
"2022-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410092","6.2.1.3","19.6","","","","1"
"2022-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410093","6.2.1.4","","F","","","0"
"2022-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410094","6.2.1.5","","F","","","0"
"2022-07","New Brunswick","2016A000213","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410095","6.2.1.6","","F","","","0"
"2022-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410096","6.2.2.1","24.6","","","","1"
"2022-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410097","6.2.2.2","17.9","","","","1"
"2022-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410098","6.2.2.3","32.7","","","","1"
"2022-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410099","6.2.2.4","","F","","","0"
"2022-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410100","6.2.2.5","","F","","","0"
"2022-07","New Brunswick","2016A000213","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410101","6.2.2.6","","F","","","0"
"2022-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410102","6.2.3.1","63.3","","","","1"
"2022-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410103","6.2.3.2","54.8","","","","1"
"2022-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410104","6.2.3.3","71.0","","","","1"
"2022-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410105","6.2.3.4","210","","","","0"
"2022-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410106","6.2.3.5","183","","","","0"
"2022-07","New Brunswick","2016A000213","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410107","6.2.3.6","237","","","","0"
"2022-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410108","6.3.1.1","8.1","","","","1"
"2022-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410109","6.3.1.2","5.1","","","","1"
"2022-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410110","6.3.1.3","12.7","","","","1"
"2022-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410111","6.3.1.4","","F","","","0"
"2022-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410112","6.3.1.5","","F","","","0"
"2022-07","New Brunswick","2016A000213","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410113","6.3.1.6","","F","","","0"
"2022-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410114","6.3.2.1","38.8","","","","1"
"2022-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410115","6.3.2.2","32.8","","","","1"
"2022-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410116","6.3.2.3","45.2","","","","1"
"2022-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410117","6.3.2.4","131","","","","0"
"2022-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410118","6.3.2.5","110","","","","0"
"2022-07","New Brunswick","2016A000213","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410119","6.3.2.6","152","","","","0"
"2022-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410120","6.3.3.1","53.1","","","","1"
"2022-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410121","6.3.3.2","47.0","","","","1"
"2022-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410122","6.3.3.3","59.1","","","","1"
"2022-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410123","6.3.3.4","179","","","","0"
"2022-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410124","6.3.3.5","159","","","","0"
"2022-07","New Brunswick","2016A000213","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410125","6.3.3.6","200","","","","0"
"2022-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410126","7.1.1.1","11.5","","","","1"
"2022-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410127","7.1.1.2","9.8","","","","1"
"2022-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410128","7.1.1.3","13.5","","","","1"
"2022-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410129","7.1.1.4","824","","","","0"
"2022-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410130","7.1.1.5","690","","","","0"
"2022-07","Quebec","2016A000224","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410131","7.1.1.6","959","","","","0"
"2022-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410132","7.1.2.1","31.5","","","","1"
"2022-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410133","7.1.2.2","28.8","","","","1"
"2022-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410134","7.1.2.3","34.3","","","","1"
"2022-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410135","7.1.2.4","2258","","","","0"
"2022-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410136","7.1.2.5","2064","","","","0"
"2022-07","Quebec","2016A000224","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410137","7.1.2.6","2452","","","","0"
"2022-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410138","7.1.3.1","57.0","","","","1"
"2022-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410139","7.1.3.2","54.2","","","","1"
"2022-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410140","7.1.3.3","59.8","","","","1"
"2022-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410141","7.1.3.4","4087","","","","0"
"2022-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410142","7.1.3.5","3887","","","","0"
"2022-07","Quebec","2016A000224","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410143","7.1.3.6","4288","","","","0"
"2022-07","Quebec","2016A000224","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410144","7.2.1.1","10.3","","","","1"
"2022-07","Quebec","2016A000224","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410145","7.2.1.2","7.9","","","","1"
"2022-07","Quebec","2016A000224","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410146","7.2.1.3","13.4","","","","1"
"2022-07","Quebec","2016A000224","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410147","7.2.1.4","372","E","","","0"
"2022-07","Quebec","2016A000224","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410148","7.2.1.5","271","E","","","0"
"2022-07","Quebec","2016A000224","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410149","7.2.1.6","473","E","","","0"
"2022-07","Quebec","2016A000224","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410150","7.2.2.1","31.1","","","","1"
"2022-07","Quebec","2016A000224","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410151","7.2.2.2","27.2","","","","1"
"2022-07","Quebec","2016A000224","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410152","7.2.2.3","35.2","","","","1"
"2022-07","Quebec","2016A000224","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410153","7.2.2.4","1119","","","","0"
"2022-07","Quebec","2016A000224","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410154","7.2.2.5","976","","","","0"
"2022-07","Quebec","2016A000224","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410155","7.2.2.6","1263","","","","0"
"2022-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410156","7.2.3.1","58.6","","","","1"
"2022-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410157","7.2.3.2","54.4","","","","1"
"2022-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410158","7.2.3.3","62.7","","","","1"
"2022-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410159","7.2.3.4","2112","","","","0"
"2022-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410160","7.2.3.5","1965","","","","0"
"2022-07","Quebec","2016A000224","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410161","7.2.3.6","2259","","","","0"
"2022-07","Quebec","2016A000224","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410162","7.3.1.1","12.7","","","","1"
"2022-07","Quebec","2016A000224","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410163","7.3.1.2","10.5","","","","1"
"2022-07","Quebec","2016A000224","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410164","7.3.1.3","15.3","","","","1"
"2022-07","Quebec","2016A000224","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410165","7.3.1.4","452","","","","0"
"2022-07","Quebec","2016A000224","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410166","7.3.1.5","367","","","","0"
"2022-07","Quebec","2016A000224","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410167","7.3.1.6","538","","","","0"
"2022-07","Quebec","2016A000224","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410168","7.3.2.1","31.9","","","","1"
"2022-07","Quebec","2016A000224","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410169","7.3.2.2","28.3","","","","1"
"2022-07","Quebec","2016A000224","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410170","7.3.2.3","35.8","","","","1"
"2022-07","Quebec","2016A000224","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410171","7.3.2.4","1138","","","","0"
"2022-07","Quebec","2016A000224","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410172","7.3.2.5","1002","","","","0"
"2022-07","Quebec","2016A000224","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410173","7.3.2.6","1275","","","","0"
"2022-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410174","7.3.3.1","55.4","","","","1"
"2022-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410175","7.3.3.2","51.5","","","","1"
"2022-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410176","7.3.3.3","59.2","","","","1"
"2022-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410177","7.3.3.4","1975","","","","0"
"2022-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410178","7.3.3.5","1837","","","","0"
"2022-07","Quebec","2016A000224","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410179","7.3.3.6","2113","","","","0"
"2022-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410180","8.1.1.1","12.7","","","","1"
"2022-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410181","8.1.1.2","11.2","","","","1"
"2022-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410182","8.1.1.3","14.3","","","","1"
"2022-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410183","8.1.1.4","1586","","","","0"
"2022-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410184","8.1.1.5","1392","","","","0"
"2022-07","Ontario","2016A000235","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410185","8.1.1.6","1779","","","","0"
"2022-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410186","8.1.2.1","36.6","","","","1"
"2022-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410187","8.1.2.2","34.4","","","","1"
"2022-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410188","8.1.2.3","38.9","","","","1"
"2022-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410189","8.1.2.4","4573","","","","0"
"2022-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410190","8.1.2.5","4295","","","","0"
"2022-07","Ontario","2016A000235","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410191","8.1.2.6","4851","","","","0"
"2022-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410192","8.1.3.1","50.7","","","","1"
"2022-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410193","8.1.3.2","48.4","","","","1"
"2022-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410194","8.1.3.3","53.0","","","","1"
"2022-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410195","8.1.3.4","6338","","","","0"
"2022-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410196","8.1.3.5","6049","","","","0"
"2022-07","Ontario","2016A000235","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410197","8.1.3.6","6627","","","","0"
"2022-07","Ontario","2016A000235","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410198","8.2.1.1","10.7","","","","1"
"2022-07","Ontario","2016A000235","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410199","8.2.1.2","8.8","","","","1"
"2022-07","Ontario","2016A000235","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410200","8.2.1.3","13.1","","","","1"
"2022-07","Ontario","2016A000235","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410201","8.2.1.4","661","","","","0"
"2022-07","Ontario","2016A000235","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410202","8.2.1.5","528","","","","0"
"2022-07","Ontario","2016A000235","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410203","8.2.1.6","795","","","","0"
"2022-07","Ontario","2016A000235","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410204","8.2.2.1","34.4","","","","1"
"2022-07","Ontario","2016A000235","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410205","8.2.2.2","31.1","","","","1"
"2022-07","Ontario","2016A000235","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410206","8.2.2.3","37.9","","","","1"
"2022-07","Ontario","2016A000235","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410207","8.2.2.4","2120","","","","0"
"2022-07","Ontario","2016A000235","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410208","8.2.2.5","1911","","","","0"
"2022-07","Ontario","2016A000235","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410209","8.2.2.6","2330","","","","0"
"2022-07","Ontario","2016A000235","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410210","8.2.3.1","54.8","","","","1"
"2022-07","Ontario","2016A000235","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410211","8.2.3.2","51.2","","","","1"
"2022-07","Ontario","2016A000235","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410212","8.2.3.3","58.4","","","","1"
"2022-07","Ontario","2016A000235","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410213","8.2.3.4","3376","","","","0"
"2022-07","Ontario","2016A000235","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410214","8.2.3.5","3155","","","","0"
"2022-07","Ontario","2016A000235","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410215","8.2.3.6","3597","","","","0"
"2022-07","Ontario","2016A000235","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410216","8.3.1.1","14.6","","","","1"
"2022-07","Ontario","2016A000235","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410217","8.3.1.2","12.4","","","","1"
"2022-07","Ontario","2016A000235","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410218","8.3.1.3","17.0","","","","1"
"2022-07","Ontario","2016A000235","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410219","8.3.1.4","924","","","","0"
"2022-07","Ontario","2016A000235","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410220","8.3.1.5","777","","","","0"
"2022-07","Ontario","2016A000235","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410221","8.3.1.6","1072","","","","0"
"2022-07","Ontario","2016A000235","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410222","8.3.2.1","38.7","","","","1"
"2022-07","Ontario","2016A000235","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410223","8.3.2.2","35.7","","","","1"
"2022-07","Ontario","2016A000235","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410224","8.3.2.3","41.7","","","","1"
"2022-07","Ontario","2016A000235","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410225","8.3.2.4","2453","","","","0"
"2022-07","Ontario","2016A000235","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410226","8.3.2.5","2262","","","","0"
"2022-07","Ontario","2016A000235","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410227","8.3.2.6","2643","","","","0"
"2022-07","Ontario","2016A000235","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410228","8.3.3.1","46.7","","","","1"
"2022-07","Ontario","2016A000235","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410229","8.3.3.2","43.6","","","","1"
"2022-07","Ontario","2016A000235","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410230","8.3.3.3","49.9","","","","1"
"2022-07","Ontario","2016A000235","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410231","8.3.3.4","2962","","","","0"
"2022-07","Ontario","2016A000235","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410232","8.3.3.5","2762","","","","0"
"2022-07","Ontario","2016A000235","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410233","8.3.3.6","3161","","","","0"
"2022-07","Prairies Region","2016A00014","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410234","9.1.1.1","15.0","","","","1"
"2022-07","Prairies Region","2016A00014","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410235","9.1.1.2","13.1","","","","1"
"2022-07","Prairies Region","2016A00014","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410236","9.1.1.3","17.2","","","","1"
"2022-07","Prairies Region","2016A00014","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331410237","9.1.1.4","842","","","","0"
"2022-07","Prairies Region","2016A00014","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410238","9.1.1.5","726","","","","0"
"2022-07","Prairies Region","2016A00014","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410239","9.1.1.6","957","","","","0"
"2022-07","Prairies Region","2016A00014","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331410240","9.1.2.1","32.6","","","","1"
"2022-07","Prairies Region","2016A00014","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410241","9.1.2.2","30.0","","","","1"
"2022-07","Prairies Region","2016A00014","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410242","9.1.2.3","35.4","","","","1"
"2022-07","Prairies Region","2016A00014","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331410243","9.1.2.4","1826","","","","0"
"2022-07","Prairies Region","2016A00014","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410244","9.1.2.5","1675","","","","0"
"2022-07","Prairies Region","2016A00014","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410245","9.1.2.6","1976","","","","0"
"2022-07","Prairies Region","2016A00014","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331410246","9.1.3.1","52.3","","","","1"
"2022-07","Prairies Region","2016A00014","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410247","9.1.3.2","49.5","","","","1"
"2022-07","Prairies Region","2016A00014","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410248","9.1.3.3","55.1","","","","1"
"2022-07","Prairies Region","2016A00014","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331410249","9.1.3.4","2926","","","","0"
"2022-07","Prairies Region","2016A00014","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410250","9.1.3.5","2768","","","","0"
"2022-07","Prairies Region","2016A00014","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410251","9.1.3.6","3084","","","","0"
"2022-07","Prairies Region","2016A00014","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331410252","9.2.1.1","11.8","","","","1"
"2022-07","Prairies Region","2016A00014","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410253","9.2.1.2","9.2","","","","1"
