"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409900","2.3.2.3","40.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409901","2.3.2.4","384","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409902","2.3.2.5","345","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409903","2.3.2.6","422","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409904","2.3.3.1","46.5","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409905","2.3.3.2","42.7","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409906","2.3.3.3","50.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409907","2.3.3.4","487","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409908","2.3.3.5","447","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409909","2.3.3.6","527","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409910","3.1.1.1","11.6","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409911","3.1.1.2","8.4","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409912","3.1.1.3","15.9","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409913","3.1.1.4","51","E","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409914","3.1.1.5","35","E","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409915","3.1.1.6","68","E","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409916","3.1.2.1","29.3","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409917","3.1.2.2","23.8","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409918","3.1.2.3","35.6","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409919","3.1.2.4","129","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409920","3.1.2.5","103","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409921","3.1.2.6","156","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409922","3.1.3.1","59.0","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409923","3.1.3.2","52.7","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409924","3.1.3.3","65.1","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409925","3.1.3.4","261","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409926","3.1.3.5","233","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409927","3.1.3.6","288","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409928","3.2.1.1","8.5","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409929","3.2.1.2","4.6","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409930","3.2.1.3","15.0","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409931","3.2.1.4","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409932","3.2.1.5","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409933","3.2.1.6","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409934","3.2.2.1","20.1","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409935","3.2.2.2","12.4","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409936","3.2.2.3","31.0","","","","1"
