Geography,Population,Labour_Metric,Sex,Year,Indicator,Value
Canada,Indigenous population,Employment rate 12,Females,2023,Percentage,56.1
Canada,Indigenous population,Unemployment rate 10,Both sexes,2024,Percentage,9.8
Canada,Indigenous population,Unemployment rate 10,Males,2024,Percentage,11.1
Canada,Indigenous population,Unemployment rate 10,Females,2024,Percentage,8.4
Canada,Indigenous population,Participation rate 11,Both sexes,2024,Percentage,63.3
Canada,Indigenous population,Participation rate 11,Males,2024,Percentage,66.3
Canada,Indigenous population,Participation rate 11,Females,2024,Percentage,60.5
Canada,Indigenous population,Employment rate 12,Both sexes,2024,Percentage,57.1
Canada,Indigenous population,Employment rate 12,Males,2024,Percentage,59
Canada,Indigenous population,Employment rate 12,Females,2024,Percentage,55.4
Canada,Non-Indigenous population,Population 5,Both sexes,2020,Persons,"29,898.80"
Canada,Non-Indigenous population,Population 5,Males,2020,Persons,"14,779.60"
Canada,Non-Indigenous population,Population 5,Females,2020,Persons,"15,119.20"
Canada,Non-Indigenous population,Labour force 6,Both sexes,2020,Persons,"19,234.50"
Canada,Non-Indigenous population,Labour force 6,Males,2020,Persons,"10,194.30"
Canada,Non-Indigenous population,Labour force 6,Females,2020,Persons,"9,040.20"
Canada,Non-Indigenous population,Employment 7,Both sexes,2020,Persons,"17,398.70"
Canada,Non-Indigenous population,Employment 7,Males,2020,Persons,"9,212.30"
Canada,Non-Indigenous population,Employment 7,Females,2020,Persons,"8,186.50"
Canada,Non-Indigenous population,Unemployment 8,Both sexes,2020,Persons,"1,835.80"
Canada,Non-Indigenous population,Unemployment 8,Males,2020,Persons,982.1
Canada,Non-Indigenous population,Unemployment 8,Females,2020,Persons,853.7
Canada,Non-Indigenous population,Not in labour force 9,Both sexes,2020,Persons,"10,664.20"
Canada,Non-Indigenous population,Not in labour force 9,Males,2020,Persons,"4,585.30"
Canada,Non-Indigenous population,Not in labour force 9,Females,2020,Persons,"6,078.90"
Canada,Non-Indigenous population,Population 5,Both sexes,2021,Persons,"30,130.20"
Canada,Non-Indigenous population,Population 5,Males,2021,Persons,"14,891.40"
Canada,Non-Indigenous population,Population 5,Females,2021,Persons,"15,238.70"
Canada,Non-Indigenous population,Labour force 6,Both sexes,2021,Persons,"19,689.60"
Canada,Non-Indigenous population,Labour force 6,Males,2021,Persons,"10,398.20"
Canada,Non-Indigenous population,Labour force 6,Females,2021,Persons,"9,291.50"
Canada,Non-Indigenous population,Employment 7,Both sexes,2021,Persons,"18,225.70"
